,load_position_id,city_count,city_name,0,1
410,6795,2,海阳,121.113616943,36.8615875244
411,6899,2,改貌站,106.750793457,26.4490394592
412,1170,4,南平,118.181884766,26.6436252594
413,2937,1,东莞港,113.777359009,23.0622196198
414,1126,1,海口,110.330802917,20.0220718384
415,3385,1,哈尔滨转运中心,126.657714844,45.773223877
416,1757,1,上海（协通）,121.48789978,31.249162674
417,2135,1,乌兰察布,113.112846375,41.0223617554
418,2547,1,滑县,114.67364502,35.4717330933
419,2863,1,南京站,118.803031921,32.0924797058
420,1459,3,武义县,119.720832825,28.774055481
421,1150,2,抚顺,124.13658905,41.7500762939
422,1133,1,兰州,103.823303223,36.0642242432
423,1679,1,白银,104.20565033,36.5018234253
424,1135,1,乌鲁木齐,87.360244751,43.4191093445
425,2155,1,伊犁,81.2978515625,43.9222488403
426,1144,1,离石,111.313140869,37.5523376465
427,2593,1,杨凌区,108.093147278,34.2781639099
428,1153,1,丹东,124.338546753,40.1290245056
429,2531,1,七台河,131.019042969,45.7750053406
430,2932,1,新疆VDC/大众代办发运,87.6139907837,43.824382782
431,1205,1,乐山,103.760826111,29.6009578705
432,1303,2,内江,105.073059082,29.5994625092
433,2430,1,德阳市区,104.402397156,31.1311397552
434,1317,1,铜川,108.968063354,34.908367157
435,1532,2,玉环,121.284423828,28.1797370911
436,1301,1,达州市,107.494972229,31.2141990662
437,6782,1,长葛,113.855567932,34.2366027832
438,1520,1,福清（同城）,119.377548218,25.6381206512
439,1515,1,云浮,112.050949097,22.9379768372
440,1332,1,葫芦岛,120.86075592,40.7430305481
441,1250,3,锦州,121.147750854,41.1308784485
442,1272,1,张家界,110.481620789,29.1248893738
443,1252,1,阜新,121.660820007,42.0192489624
444,1251,1,朝阳,120.446159363,41.5718269348
445,1242,1,通辽,122.260360718,43.6337547302
